,start,end,days,quote,reconstituted,error
Jan-27,2027-01-01,2027-01-31,31,38.263,38.263,-0.0
Feb-27,2027-02-01,2027-02-28,28,36.754,36.754,-0.0
Mar-27,2027-03-01,2027-03-31,31,33.154,33.154,0.0
Apr-27,2027-04-01,2027-04-30,30,29.265,29.265,0.0
May-27,2027-05-01,2027-05-31,31,26.924,26.924,0.0
Jun-27,2027-06-01,2027-06-30,30,26.031,26.031,0.0
Jul-27,2027-07-01,2027-07-31,31,25.828,25.828,0.0
Aug-27,2027-08-01,2027-08-31,31,25.878,25.878,0.0
Sep-27,2027-09-01,2027-09-30,30,26.49,26.49,-0.0
Oct-27,2027-10-01,2027-10-31,31,28.663,28.663,0.0
Nov-27,2027-11-01,2027-11-30,30,32.277,32.277,0.0
Dec-27,2027-12-01,2027-12-31,31,35.731,35.731,0.0
Q1-28,2028-01-01,2028-03-31,91,34.781,34.78093,-7e-05
Q2-28,2028-04-01,2028-06-30,91,26.156,26.15593,-7e-05
Q3-28,2028-07-01,2028-09-30,92,24.87,24.869929,-7.1e-05
Q4-28,2028-10-01,2028-12-31,92,31.018,31.017929,-7.1e-05
Cal-28,2028-01-01,2028-12-31,366,29.199,29.199282,0.000282
